Rank_Nov,Rank_Oct,DBMS,Database Model,Score_Nov,Score_Oct
2021,2021,,,2021,2021
1,1,Oracle ,"Relational, Multi-model ",1272.73,2.38
2,2,MySQL ,"Relational, Multi-model ",1211.52,-8.25
3,3,Microsoft SQL Server ,"Relational, Multi-model ",954.29,-16.32
4,4,PostgreSQL  ,"Relational, Multi-model ",597.27,10.3
5,5,MongoDB ,"Document, Multi-model ",487.35,-6.21
6,6,Redis ,"Key-value, Multi-model ",171.5,0.15
7,7,IBM Db2,"Relational, Multi-model ",167.52,1.56
8,8,Elasticsearch,"Search engine, Multi-model ",159.09,0.84
9,9,SQLite ,Relational,129.8,0.43
10,10,Cassandra ,Wide column,120.88,1.61
11,11,Microsoft Access,Relational,119.24,2.86
12,12,MariaDB ,"Relational, Multi-model ",102.19,-0.41
13,13,Splunk,Search engine,92.31,1.69
14,14,Hive ,Relational,83.31,-1.43
15,15,Microsoft Azure SQL Database,"Relational, Multi-model ",81.32,1.6
16,16,Amazon DynamoDB ,Multi-model ,76.99,0.43
17,17,Teradata ,"Relational, Multi-model ",69.59,-0.24
18,18,Snowflake ,Relational,64.19,5.93
19,19,Neo4j ,Graph,57.98,0.11
20,20,SAP HANA ,"Relational, Multi-model ",55.53,0.26
21,21,FileMaker,Relational,54.22,1.38
22,22,Solr,"Search engine, Multi-model ",53.85,2.69
23,23,SAP Adaptive Server,"Relational, Multi-model ",50.93,2.34
24, 25.,Google BigQuery ,Relational,45.01,1.22
25, 24.,HBase  ,Wide column,45.01,-0.19
26,26,Microsoft Azure Cosmos DB ,Multi-model ,40.82,0.54
27,27,PostGIS,"Spatial DBMS, Multi-model ",31.91,0.28
28, 29.,Couchbase ,"Document, Multi-model ",29.87,1.96
29, 28.,InfluxDB ,"Time Series, Multi-model ",28.54,0.03
30,30,Firebird,Relational,26.9,0.87
31,31,Memcached,Key-value,26.37,0.35
32,32,Amazon Redshift ,Relational,24.86,0.6
33, 34.,Spark SQL ,Relational,23.33,0.39
34, 33.,Informix,"Relational, Multi-model ",23.23,0.12
35,35,Vertica ,"Relational, Multi-model ",20.33,0.02
36, 37.,Firebase Realtime Database,Document,20.06,1.04
37, 36.,Netezza,Relational,19.79,0.17
38,38,Impala,"Relational, Multi-model ",18.93,0.25
39,39,Microsoft Azure Synapse Analytics,Relational,17.9,0.62
40,40,CouchDB,"Document, Multi-model ",16.8,1.01
41,41,dBASE,Relational,14.77,0.57
42,42,Greenplum,"Relational, Multi-model ",13.76,0.69
43,43,Presto,Relational,13.47,0.73
44,44,Amazon Aurora,"Relational, Multi-model ",12.1,0.41
45,45,ClickHouse,"Relational, Multi-model ",11.39,0.71
46,46,etcd,Key-value,10.81,0.62
47, 48.,Hazelcast ,"Key-value, Multi-model ",10,0.34
48, 47.,H2,"Relational, Multi-model ",9.92,0.2
49, 51.,Datastax Enterprise ,"Wide column, Multi-model ",9.7,0.56
50, 53.,Google Cloud Firestore,Document,9.56,1.19
51, 49.,MarkLogic ,Multi-model ,9.34,-0.09
52, 50.,Realm ,Document,9.2,-0.09
53, 52.,Oracle Essbase,Relational,8.53,0.12
54, 56.,Algolia,Search engine,8.21,0.61
55, 54.,Kdb+ ,"Time Series, Multi-model ",7.95,-0.05
56, 55.,Sphinx,Search engine,7.91,0.3
57,57,Microsoft Azure Search,Search engine,7.37,0.39
58, 60.,CockroachDB ,Relational,7.07,0.43
59, 63.,Riak KV,Key-value,6.72,0.84
60, 61.,Interbase,Relational,6.66,0.38
61, 58.,Ehcache,Key-value,6.63,-0.31
62, 66.,Microsoft Azure Data Explorer ,"Relational, Multi-model ",6.62,0.95
63, 59.,Prometheus,Time Series,6.52,-0.12
64, 69.,Ignite,Multi-model ,6.38,0.97
65, 64.,SingleStore ,"Relational, Multi-model ",6.34,0.6
66, 68.,Ingres,Relational,6.03,0.53
67, 62.,Jackrabbit,Content,5.98,0.08
68, 65.,SAP SQL Anywhere,Relational,5.77,0.09
69, 71.,Microsoft Azure Table Storage,Wide column,5.69,0.43
70, 67.,Graphite,Time Series,5.63,0.13
71, 72.,Aerospike ,"Key-value, Multi-model ",5.44,0.31
72, 70.,OpenEdge,Relational,5.14,-0.2
73, 75.,Derby,Relational,5.12,0.46
74, 78.,ArangoDB ,Multi-model ,5.1,0.65
75, 76.,HyperSQL,Relational,5.06,0.46
76, 73.,SAP IQ,Relational,4.99,0.28
77, 80.,Google Cloud Datastore,Document,4.98,0.56
78, 74.,Virtuoso ,Multi-model ,4.81,0.12
79,79,Adabas,Multivalue,4.77,0.32
80, 82.,OrientDB,Multi-model ,4.64,0.59
81, 77.,MaxDB,Relational,4.56,0.04
82, 83.,Oracle NoSQL,Multi-model ,4.41,0.38
83, 81.,"UniData,UniVerse",Multivalue,4.37,0.18
84,84,TimescaleDB ,"Time Series, Multi-model ",4.33,0.37
85, 91.,Google Cloud Bigtable,Wide column,4.27,0.63
86, 89.,IBM Cloudant,Document,4.25,0.54
87, 90.,ScyllaDB ,Multi-model ,3.93,0.23
88, 85.,Accumulo,Wide column,3.91,0.02
